id,name,town,latitude,longitude,blendPrice,dieselPrice,logoAsset,stationIcon
34,Sogo,"Harare",-17.7179375,31.1330528,1.53,1.58,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
35,Redan,"Harare",-17.734087,31.130167,1.52,1.58,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
36,Zuva,"Harare",-17.779232,31.1303387,1.49,1.50,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
37,PetromocExor,"Harare",-17.805727,31.1244621,1.50,1.48,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
38,Zuva,"Harare",-17.8060188,31.1235199,1.48,1.49,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
41,Mount Meru Petrol Station Kigamboni,"Kigamboni, Dar es Salaam",-6.8277873,39.3075572,1.30,1.20,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
42,Engen Ferry Kigamboni,"Kigamboni, Dar es Salaam",-6.8296179,39.3095536,1.35,1.25,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
43,TotalEnergies Kigamboni Service Station,"Kigamboni, Dar es Salaam",-6.8226625,39.3024465,1.32,1.22,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
44,Kobil Petrol Station,"Kigamboni, Dar es Salaam",-6.8234573,39.3033924,1.28,1.18,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
45,Afroil Kigamboni Service Station,"Kigamboni, Dar es Salaam",-6.8474084,39.3153688,1.34,1.24,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
46,Oilcom,"Kigamboni, Dar es Salaam",-6.8210281,39.304533,1.29,1.19,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
47,Oil Link (T) LTD,"Kigamboni, Dar es Salaam",-6.8342325,39.3139745,1.31,1.21,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
